Pokemon, Move, Source 
Ivysaur,Tackle,Event
Ivysaur,Vine Whip,Event
Ivysaur,Weather Ball,Event
Ivysaur,Bide,Past generation only
Ivysaur,Bind,Past generation only
Ivysaur,Captivate,Past generation only
Ivysaur,Confide,Past generation only
Ivysaur,Cut,Past generation only
Ivysaur,Defense Curl,Past generation only
Ivysaur,Double Team,Past generation only
Ivysaur,Echoed Voice,Past generation only
Ivysaur,Flash,Past generation only
Ivysaur,Frustration,Past generation only
Ivysaur,Fury Cutter,Past generation only
Ivysaur,Headbutt,Past generation only
Ivysaur,Hidden Power,Past generation only
Ivysaur,Knock Off,Past generation only
Ivysaur,Mega Drain,Past generation only
Ivysaur,Mimic,Past generation only
Ivysaur,Mud-Slap,Past generation only
Ivysaur,Natural Gift,Past generation only
Ivysaur,Outrage,Past generation only
Ivysaur,Rage,Past generation only
Ivysaur,Reflect,Past generation only
Ivysaur,Return,Past generation only
Ivysaur,Rock Smash,Past generation only
Ivysaur,Secret Power,Past generation only
Ivysaur,Strength,Past generation only
Ivysaur,String Shot,Past generation only
Ivysaur,Swagger,Past generation only
Venusaur,Petal Blizzard,level 1
Venusaur,Growl,level 1
Venusaur,Growth,level 1
Venusaur,Petal Dance,level 1
Venusaur,Tackle,level 1
Venusaur,Vine Whip,level 1
Venusaur,Leech Seed,level 9
Venusaur,Razor Leaf,level 12
Venusaur,Poison Powder,level 15
Venusaur,Sleep Powder,level 15
Venusaur,Seed Bomb,level 20
Venusaur,Take Down,level 25
Venusaur,Sweet Scent,level 30
Venusaur,Synthesis,level 37
Venusaur,Worry Seed,level 44
Venusaur,Double-Edge,level 51
Venusaur,Solar Beam,level 58
Venusaur,Amnesia,TM
Venusaur,Attract,TM
Venusaur,Body Slam,TM
Venusaur,Bulldoze,TM
Venusaur,Bullet Seed,TM
Venusaur,Charm,TM
Venusaur,Earth Power,TM
Venusaur,Earthquake,TM
Venusaur,Endure,TM
Venusaur,Energy Ball,TM
Venusaur,Facade,TM
Venusaur,False Swipe,TM
Venusaur,Giga Drain,TM
Venusaur,Giga Impact,TM
Venusaur,Grass Knot,TM
Venusaur,Grassy Terrain,TM
Venusaur,Helping Hand,TM
Venusaur,Hyper Beam,TM
Venusaur,Leaf Storm,TM
Venusaur,Light Screen,TM
Venusaur,Magical Leaf,TM
Venusaur,Outrage,TM
Venusaur,Power Whip,TM
Venusaur,Protect,TM
Venusaur,Rest,TM
Venusaur,Round,TM
Venusaur,Safeguard,TM
Venusaur,Seed Bomb,TM
Venusaur,Sleep Talk,TM
Venusaur,Sludge Bomb,TM
Venusaur,Snore,TM
Venusaur,Solar Beam,TM
Venusaur,Stomping Tantrum,TM
Venusaur,Substitute,TM
Venusaur,Sunny Day,TM
Venusaur,Swords Dance,TM
Venusaur,Venoshock,TM
Venusaur,Weather Ball,TM
Venusaur,Work Up,TM
Venusaur,Frenzy Plant,move tutor
Venusaur,Grass Pledge,move tutor
Venusaur,Grassy Glide,move tutor
Venusaur,Terrain Pulse,move tutor
Venusaur,Curse,egg move
Venusaur,Ingrain,egg move
Venusaur,Nature Power,egg move
Venusaur,Petal Dance,egg move
Venusaur,Skull Bash,egg move
Venusaur,Toxic,egg move
Venusaur,Block,Event
Venusaur,Celebrate,Event
Venusaur,False Swipe,Event
Venusaur,Frenzy Plant,Event
Venusaur,Grass Pledge,Event
Venusaur,Growl,Event
Venusaur,Growth,Event
Venusaur,Leech Seed,Event
Venusaur,Poison Powder,Event
Venusaur,Solar Beam,Event
Venusaur,Sweet Scent,Event
Venusaur,Synthesis,Event
Venusaur,Tackle,Event
Venusaur,Vine Whip,Event
Venusaur,Weather Ball,Event
Venusaur,Bide,Past generation only
Venusaur,Bind,Past generation only
Venusaur,Captivate,Past generation only
Venusaur,Confide,Past generation only
Venusaur,Cut,Past generation only
Venusaur,Defense Curl,Past generation only
Venusaur,Double Team,Past generation only
Venusaur,Echoed Voice,Past generation only
Venusaur,Flash,Past generation only
Venusaur,Frustration,Past generation only
Venusaur,Fury Cutter,Past generation only
Venusaur,Headbutt,Past generation only
Venusaur,Hidden Power,Past generation only
Venusaur,Knock Off,Past generation only
Venusaur,Mega Drain,Past generation only
Venusaur,Mimic,Past generation only
Venusaur,Mud-Slap,Past generation only
Venusaur,Natural Gift,Past generation only
Venusaur,Rage,Past generation only
Venusaur,Reflect,Past generation only
Venusaur,Return,Past generation only
Venusaur,Roar,Past generation only
Venusaur,Rock Climb,Past generation only
Venusaur,Rock Smash,Past generation only
Venusaur,Secret Power,Past generation only
Venusaur,Strength,Past generation only
Venusaur,String Shot,Past generation only
Venusaur,Swagger,Past generation only
Charmander,Growl,level 1
Charmander,Scratch,level 1
Charmander,Ember,level 4
Charmander,Smokescreen,level 8
Charmander,Dragon Breath,level 12
Charmander,Fire Fang,level 17
Charmander,Slash,level 20
Charmander,Flamethrower,level 24
Charmander,Scary Face,level 28
Charmander,Fire Spin,level 32
Charmander,Inferno,level 36
Charmander,Flare Blitz,level 40
Charmander,Body Slam,TM
Charmander,Brick Break,TM
Charmander,Crunch,TM
Charmander,Dig,TM
Charmander,Dragon Claw,TM
Charmander,Dragon Dance,TM
Charmander,Dragon Pulse,TM
Charmander,Dragon Tail,TM
Charmander,Endure,TM
Charmander,Facade,TM
Charmander,False Swipe,TM
Charmander,Fire Blast,TM
Charmander,Fire Fang,TM
Charmander,Fire Pledge,TM
Charmander,Fire Punch,TM
Charmander,Fire Spin,TM
Charmander,Flame Charge,TM
Charmander,Flamethrower,TM
Charmander,Flare Blitz,TM
Charmander,Fling,TM
Charmander,Focus Blast,TM
Charmander,Heat Wave,TM
Charmander,Helping Hand,TM
Charmander,Metal Claw,TM
Charmander,Outrage,TM
Charmander,Overheat,TM
Charmander,Protect,TM
Charmander,Rest,TM
Charmander,Rock Slide,TM
Charmander,Rock Tomb,TM
Charmander,Scary Face,TM
Charmander,Shadow Claw,TM
Charmander,Sleep Talk,TM
Charmander,Substitute,TM
Charmander,Sunny Day,TM
Charmander,Swift,TM
Charmander,Swords Dance,TM
Charmander,Take Down,TM
Charmander,Tera Blast,TM
Charmander,Thunder Punch,TM
Charmander,Will-O-Wisp,TM
Charmander,Ancient Power,egg move
Charmander,Belly Drum,egg move
Charmander,Bite,egg move
Charmander,Counter,egg move
Charmander,Dragon Rush,egg move
Charmander,Dragon Tail,egg move
Charmander,Iron Tail,egg move
Charmander,Metal Claw,egg move
Charmander,Acrobatics,Event
Charmander,Blast Burn,Event
Charmander,Block,Event
Charmander,Celebrate,Event
Charmander,Dragon Rage,Event
Charmander,Ember,Event
Charmander,False Swipe,Event
Charmander,Growl,Event
Charmander,Hidden Power,Event
Charmander,Howl,Event
Charmander,Quick Attack,Event
Charmander,Return,Event
Charmander,Scratch,Event
Charmander,Smokescreen,Event
Charmander,Aerial Ace,Past generation only
Charmander,Air Cutter,Past generation only
Charmander,Attract,Past generation only
Charmander,Beat Up,Past generation only
Charmander,Bide,Past generation only
Charmander,Captivate,Past generation only
Charmander,Confide,Past generation only
Charmander,Curse,Past generation only
Charmander,Cut,Past generation only
Charmander,Defense Curl,Past generation only
Charmander,Double-Edge,Past generation only
Charmander,Double Team,Past generation only
Charmander,Dynamic Punch,Past generation only
Charmander,Echoed Voice,Past generation only
Charmander,Flame Burst,Past generation only
Charmander,Focus Punch,Past generation only
Charmander,Frustration,Past generation only
Charmander,Fury Cutter,Past generation only
Charmander,Fury Swipes,Past generation only
Charmander,Headbutt,Past generation only
Charmander,Hone Claws,Past generation only
Charmander,Incinerate,Past generation only
Charmander,Leer,Past generation only
Charmander,Mega Kick,Past generation only
Charmander,Mega Punch,Past generation only
Charmander,Mimic,Past generation only
Charmander,Mud-Slap,Past generation only
Charmander,Natural Gift,Past generation only
Charmander,Power-Up Punch,Past generation only
Charmander,Rage,Past generation only
Charmander,Reflect,Past generation only
Charmander,Rock Smash,Past generation only
Charmander,Round,Past generation only
Charmander,Secret Power,Past generation only
Charmander,Seismic Toss,Past generation only
Charmander,Skull Bash,Past generation only
Charmander,Snore,Past generation only
Charmander,Strength,Past generation only
Charmander,Submission,Past generation only
Charmander,Swagger,Past generation only
Charmander,Toxic,Past generation only
Charmander,Weather Ball,Past generation only
Charmander,Wing Attack,Past generation only
Charmander,Work Up,Past generation only
Charmeleon,Ember,level 1
Charmeleon,Growl,level 1
Charmeleon,Scratch,level 1
Charmeleon,Smokescreen,level 1
Charmeleon,Dragon Breath,level 12
Charmeleon,Fire Fang,level 19
Charmeleon,Slash,level 24
Charmeleon,Flamethrower,level 30
Charmeleon,Scary Face,level 37
Charmeleon,Inferno,level 48
Charmeleon,Flare Blitz,level 54
Charmeleon,Fire Spin,level 32
Charmeleon,Body Slam,TM
Charmeleon,Brick Break,TM
Charmeleon,Crunch,TM
Charmeleon,Dig,TM
Charmeleon,Dragon Claw,TM
Charmeleon,Dragon Dance,TM
Charmeleon,Dragon Pulse,TM
Charmeleon,Dragon Tail,TM
Charmeleon,Endure,TM
Charmeleon,Facade,TM
Charmeleon,False Swipe,TM
Charmeleon,Fire Blast,TM
Charmeleon,Fire Fang,TM
Charmeleon,Fire Pledge,TM
Charmeleon,Fire Punch,TM
Charmeleon,Fire Spin,TM
Charmeleon,Flame Charge,TM
Charmeleon,Flamethrower,TM
Charmeleon,Flare Blitz,TM
Charmeleon,Fling,TM
Charmeleon,Heat Wave,TM
Charmeleon,Helping Hand,TM
Charmeleon,Outrage,TM
Charmeleon,Overheat,TM
Charmeleon,Protect,TM
Charmeleon,Rest,TM
Charmeleon,Rock Slide,TM
Charmeleon,Rock Tomb,TM
Charmeleon,Scary Face,TM
Charmeleon,Shadow Claw,TM
Charmeleon,Sleep Talk,TM
Charmeleon,Substitute,TM
Charmeleon,Sunny Day,TM
Charmeleon,Swift,TM
Charmeleon,Swords Dance,TM
Charmeleon,Take Down,TM
Charmeleon,Tera Blast,TM
Charmeleon,Thunder Punch,TM
Charmeleon,Will-O-Wisp,TM
Charmeleon,Ancient Power,egg move
Charmeleon,Belly Drum,egg move
Charmeleon,Bite,egg move
Charmeleon,Counter,egg move
Charmeleon,Dragon Rush,egg move
Charmeleon,Dragon Tail,egg move
Charmeleon,Iron Tail,egg move
Charmeleon,Metal Claw,egg move
Charmeleon,Acrobatics,Event
Charmeleon,Blast Burn,Event
Charmeleon,Block,Event
Charmeleon,Celebrate,Event
Charmeleon,Dragon Rage,Event
Charmeleon,Ember,Event
Charmeleon,False Swipe,Event
Charmeleon,Growl,Event
Charmeleon,Hidden Power,Event
Charmeleon,Howl,Event
Charmeleon,Quick Attack,Event
Charmeleon,Return,Event
Charmeleon,Scratch,Event
Charmeleon,Smokescreen,Event
Charmeleon,Aerial Ace,Past generation only
Charmeleon,Attract,Past generation only
Charmeleon,Beat Up,Past generation only
Charmeleon,Bide,Past generation only
Charmeleon,Captivate,Past generation only
Charmeleon,Confide,Past generation only
Charmeleon,Curse,Past generation only
Charmeleon,Cut,Past generation only
Charmeleon,Defense Curl,Past generation only
Charmeleon,Double-Edge,Past generation only
Charmeleon,Double Team,Past generation only
Charmeleon,Dynamic Punch,Past generation only
Charmeleon,Echoed Voice,Past generation only
Charmeleon,Flame Burst,Past generation only
Charmeleon,Focus Punch,Past generation only
Charmeleon,Frustration,Past generation only
Charmeleon,Fury Cutter,Past generation only
Charmeleon,Fury Swipes,Past generation only
Charmeleon,Headbutt,Past generation only
Charmeleon,Hone Claws,Past generation only
Charmeleon,Incinerate,Past generation only
Charmeleon,Leer,Past generation only
Charmeleon,Mega Kick,Past generation only
Charmeleon,Mega Punch,Past generation only
Charmeleon,Mimic,Past generation only
Charmeleon,Mud-Slap,Past generation only
Charmeleon,Natural Gift,Past generation only
Charmeleon,Power-Up Punch,Past generation only
Charmeleon,Rage,Past generation only
Charmeleon,Reflect,Past generation only
Charmeleon,Rock Smash,Past generation only
Charmeleon,Round,Past generation only
Charmeleon,Secret Power,Past generation only
Charmeleon,Seismic Toss,Past generation only
Charmeleon,Skull Bash,Past generation only
Charmeleon,Snore,Past generation only
Charmeleon,Strength,Past generation only
Charmeleon,Submission,Past generation only
Charmeleon,Swagger,Past generation only
Charmeleon,Toxic,Past generation only
Charmeleon,Weather Ball,Past generation only
Charmeleon,Work Up,Past generation only
Charizard,Air Slash,level 1
Charizard,Dragon Claw,level 1
Charizard,Ember,level 1
Charizard,Growl,level 1
Charizard,Heat Wave,level 1
Charizard,Scratch,level 1
Charizard,Smokescreen,level 1
Charizard,Dragon Breath,level 12
Charizard,Fire Fang,level 19
Charizard,Slash,level 24
Charizard,Flamethrower,level 30
Charizard,Scary Face,level 39
Charizard,Fire Spin,level 46
Charizard,Inferno,level 54
Charizard,Flare Blitz,level 62
Charizard,Acrobatics,TM
Charizard,Aerial Ace,TM
Charizard,Air Cutter,TM
Charizard,Air Slash,TM
Charizard,Blast Burn,TM
Charizard,Body Slam,TM
Charizard,Brick Break,TM
Charizard,Bulldoze,TM
Charizard,Crunch,TM
Charizard,Dig,TM
Charizard,Dragon Claw,TM
Charizard,Dragon Dance,TM
Charizard,Dragon Pulse,TM
Charizard,Dragon Tail,TM
Charizard,Earthquake,TM
Charizard,Endure,TM
Charizard,Facade,TM
Charizard,Fire Blast,TM
Charizard,Fire Fang,TM
Charizard,Fire Pledge,TM
Charizard,Fire Punch,TM
Charizard,Fire Spin,TM
Charizard,Flame Charge,TM
Charizard,Flamethrower,TM
Charizard,Flare Blitz,TM
Charizard,Fling,TM
Charizard,Fly,TM
Charizard,Focus Blast,TM
Charizard,Giga Impact,TM
Charizard,Heat Wave,TM
Charizard,Helping Hand,TM
Charizard,Hurricane,TM
Charizard,Hyper Beam,TM
Charizard,Outrage,TM
Charizard,Overheat,TM
Charizard,Protect,TM
Charizard,Rest,TM
Charizard,Rock Slide,TM
Charizard,Rock Tomb,TM
Charizard,Sandstorm,TM
Charizard,Scary Face,TM
Charizard,Shadow Claw,TM
Charizard,Sleep Talk,TM
Charizard,Solar Beam,TM
Charizard,Substitute,TM
Charizard,Sunny Day,TM
Charizard,Swift,TM
Charizard,Swords Dance,TM
Charizard,Take Down,TM
Charizard,Tera Blast,TM
Charizard,Thunder Punch,TM
Charizard,Will-O-Wisp,TM
Charizard,Ancient Power,egg move
Charizard,Belly Drum,egg move
Charizard,Bite,egg move
Charizard,Counter,egg move
Charizard,Dragon Rush,egg move
Charizard,Dragon Tail,egg move
Charizard,Iron Tail,egg move
Charizard,Metal Claw,egg move
Charizard,Acrobatics,Event
Charizard,Air Slash,Event
Charizard,Blast Burn,Event
Charizard,Block,Event
Charizard,Celebrate,Event
Charizard,Dragon Claw,Event
Charizard,Dragon Dance,Event
Charizard,Dragon Rage,Event
Charizard,Dragon Tail,Event
Charizard,Earthquake,Event
Charizard,Ember,Event
Charizard,False Swipe,Event
Charizard,Fire Fang,Event
Charizard,Fire Pledge,Event
Charizard,Fire Spin,Event
Charizard,Flame Burst,Event
Charizard,Flamethrower,Event
Charizard,Flare Blitz,Event
Charizard,Fly,Event
Charizard,Focus Blast,Event
Charizard,Growl,Event
Charizard,Hidden Power,Event
Charizard,Hold Hands,Event
Charizard,Howl,Event
Charizard,Inferno,Event
Charizard,Overheat,Event
Charizard,Quick Attack,Event
Charizard,Return,Event
Charizard,Scary Face,Event
Charizard,Scratch,Event
Charizard,Seismic Toss,Event
Charizard,Slash,Event
Charizard,Smokescreen,Event
Charizard,Solar Beam,Event
Charizard,Wing Attack,Event
Charizard,Attract,Past generation only
Charizard,Beat Up,Past generation only
Charizard,Bide,Past generation only
Charizard,Blaze Kick,Past generation only
Charizard,Breaking Swipe,Past generation only
Charizard,Brutal Swing,Past generation only
Charizard,Captivate,Past generation only
Charizard,Confide,Past generation only
Charizard,Curse,Past generation only
Charizard,Cut,Past generation only
Charizard,Defense Curl,Past generation only
Charizard,Defog,Past generation only
Charizard,Double-Edge,Past generation only
Charizard,Double Team,Past generation only
Charizard,Dual Wingbeat,Past generation only
Charizard,Dynamic Punch,Past generation only
Charizard,Echoed Voice,Past generation only
Charizard,Fissure,Past generation only
Charizard,Focus Punch,Past generation only
Charizard,Frustration,Past generation only
Charizard,Fury Cutter,Past generation only
Charizard,Fury Swipes,Past generation only
Charizard,Headbutt,Past generation only
Charizard,Heat Crash,Past generation only
Charizard,Hone Claws,Past generation only
Charizard,Incinerate,Past generation only
Charizard,Leer,Past generation only
Charizard,Mega Kick,Past generation only
Charizard,Mega Punch,Past generation only
Charizard,Mimic,Past generation only
Charizard,Mud-Slap,Past generation only
Charizard,Mystical Fire,Past generation only
Charizard,Natural Gift,Past generation only
Charizard,Ominous Wind,Past generation only
Charizard,Power-Up Punch,Past generation only
Charizard,Rage,Past generation only
Charizard,Reflect,Past generation only
Charizard,Roar,Past generation only
Charizard,Rock Smash,Past generation only
Charizard,Roost,Past generation only
Charizard,Round,Past generation only
Charizard,Scale Shot,Past generation only
Charizard,Scorching Sands,Past generation only
Charizard,Secret Power,Past generation only
Charizard,Skull Bash,Past generation only
Charizard,Sky Drop,Past generation only
Charizard,Snore,Past generation only
Charizard,Steel Wing,Past generation only
Charizard,Strength,Past generation only
Charizard,Submission,Past generation only
Charizard,Swagger,Past generation only
Charizard,Tailwind,Past generation only
Charizard,Toxic,Past generation only
Charizard,Twister,Past generation only
Charizard,Weather Ball,Past generation only
Charizard,Work Up,Past generation only
Squirtle,Tackle,level 1
Squirtle,Tail Whip,level 1
Squirtle,Water Gun,level 3
Squirtle,Withdraw,level 6
Squirtle,Rapid Spin,level 9
Squirtle,Bite,level 12
Squirtle,Water Pulse,level 15
Squirtle,Protect,level 18
Squirtle,Rain Dance,level 21
Squirtle,Aqua Tail,level 24
Squirtle,Shell Smash,level 27
Squirtle,Iron Defense,level 30
Squirtle,Hydro Pump,level 33
Squirtle,Skull Bash,level 36
Squirtle,Attract,TM
Squirtle,Aura Sphere,TM
Squirtle,Blizzard,TM
Squirtle,Body Slam,TM
Squirtle,Brick Break,TM
Squirtle,Brine,TM
Squirtle,Dig,TM
Squirtle,Dive,TM
Squirtle,Dragon Pulse,TM
Squirtle,Endure,TM
Squirtle,Facade,TM
Squirtle,False Swipe,TM
Squirtle,Fling,TM
Squirtle,Gyro Ball,TM
Squirtle,Hail,TM
Squirtle,Helping Hand,TM
Squirtle,Hydro Pump,TM
Squirtle,Ice Beam,TM
Squirtle,Ice Punch,TM
Squirtle,Icy Wind,TM
Squirtle,Iron Defense,TM
Squirtle,Iron Tail,TM
Squirtle,Mega Kick,TM
Squirtle,Mega Punch,TM
Squirtle,Muddy Water,TM
Squirtle,Protect,TM
Squirtle,Rain Dance,TM
Squirtle,Rest,TM
Squirtle,Rock Tomb,TM
Squirtle,Round,TM
Squirtle,Scald,TM
Squirtle,Sleep Talk,TM
Squirtle,Snore,TM
Squirtle,Substitute,TM
Squirtle,Surf,TM
Squirtle,Waterfall,TM
Squirtle,Weather Ball,TM
Squirtle,Whirlpool,TM
Squirtle,Work Up,TM
Squirtle,Zen Headbutt,TM
Squirtle,Flip Turn,move tutor
Squirtle,Water Pledge,move tutor
Squirtle,Aqua Jet,egg move
Squirtle,Aqua Ring,egg move
Squirtle,Fake Out,egg move
Squirtle,Flail,egg move
Squirtle,Haze,egg move
Squirtle,Life Dew,egg move
Squirtle,Mirror Coat,egg move
Squirtle,Mist,egg move
Squirtle,Water Spout,egg move
Squirtle,Yawn,egg move
Squirtle,Block,Event
Squirtle,Bubble,Event
Squirtle,Celebrate,Event
Squirtle,False Swipe,Event
Squirtle,Follow Me,Event
Squirtle,Hydro Cannon,Event
Squirtle,Tackle,Event
Squirtle,Tail Whip,Event
Squirtle,Water Gun,Event
Squirtle,Withdraw,Event
Squirtle,Bide,Past generation only
Squirtle,Bubble Beam,Past generation only
Squirtle,Captivate,Past generation only
Squirtle,Confide,Past generation only
Squirtle,Confusion,Past generation only
Squirtle,Counter,Past generation only
Squirtle,Curse,Past generation only
Squirtle,Defense Curl,Past generation only
Squirtle,Double-Edge,Past generation only
Squirtle,Double Team,Past generation only
Squirtle,Dynamic Punch,Past generation only
Squirtle,Focus Punch,Past generation only
Squirtle,Foresight,Past generation only
Squirtle,Frustration,Past generation only
Squirtle,Headbutt,Past generation only
Squirtle,Hidden Power,Past generation only
Squirtle,Mimic,Past generation only
Squirtle,Mud-Slap,Past generation only
Squirtle,Mud Sport,Past generation only
Squirtle,Natural Gift,Past generation only
Squirtle,Outrage,Past generation only
Squirtle,Power-Up Punch,Past generation only
Squirtle,Rage,Past generation only
Squirtle,Reflect,Past generation only
Squirtle,Refresh,Past generation only
Squirtle,Return,Past generation only
Squirtle,Rock Slide,Past generation only
Squirtle,Rock Smash,Past generation only
Squirtle,Rollout,Past generation only
Squirtle,Secret Power,Past generation only
Squirtle,Seismic Toss,Past generation only
Squirtle,Strength,Past generation only
Squirtle,Submission,Past generation only
Squirtle,Swagger,Past generation only
Squirtle,Take Down,Past generation only
Squirtle,Toxic,Past generation only
Wartortle,Tackle,level 1
Wartortle,Tail Whip,level 1
Wartortle,Water Gun,level 1
Wartortle,Withdraw,level 1
Wartortle,Rapid Spin,level 9
Wartortle,Bite,level 12
Wartortle,Water Pulse,level 15
Wartortle,Protect,level 20
Wartortle,Rain Dance,level 25
Wartortle,Aqua Tail,level 30
Wartortle,Shell Smash,level 35
Wartortle,Iron Defense,level 40
Wartortle,Hydro Pump,level 45
Wartortle,Skull Bash,level 50
Wartortle,Attract,TM
Wartortle,Aura Sphere,TM
Wartortle,Blizzard,TM
Wartortle,Body Slam,TM
Wartortle,Brick Break,TM
Wartortle,Brine,TM
Wartortle,Dig,TM
Wartortle,Dive,TM
Wartortle,Dragon Pulse,TM
Wartortle,Endure,TM
Wartortle,Facade,TM
Wartortle,False Swipe,TM
Wartortle,Fling,TM
Wartortle,Gyro Ball,TM
Wartortle,Hail,TM
Wartortle,Helping Hand,TM
Wartortle,Hydro Pump,TM
Wartortle,Ice Beam,TM
Wartortle,Ice Punch,TM
Wartortle,Icy Wind,TM
