Pokemon, Number, height, weight, HP, Attack, Defense, Sp. Atk, Sp. Def, Speed, total, Sprite
Clauncher,692,0.5,8.3,50,53,62,58,63,44,330,https://play.pokemonshowdown.com/sprites/gen5/clauncher.png
Clawitzer,693,1.3,35.3,71,73,88,120,89,59,500,https://play.pokemonshowdown.com/sprites/gen5/clawitzer.png
Helioptile,694,0.5,6,44,38,33,61,43,70,289,https://play.pokemonshowdown.com/sprites/gen5/helioptile.png
Heliolisk,695,1,21,62,55,52,109,94,109,481,https://play.pokemonshowdown.com/sprites/gen5/heliolisk.png
Tyrunt,696,0.8,26,58,89,77,45,45,48,362,https://play.pokemonshowdown.com/sprites/gen5/tyrunt.png
Tyrantrum,697,2.5,270,82,121,119,69,59,71,521,https://play.pokemonshowdown.com/sprites/gen5/tyrantrum.png
Amaura,698,1.3,25.2,77,59,50,67,63,46,362,https://play.pokemonshowdown.com/sprites/gen5/amaura.png
Aurorus,699,2.7,225,123,77,72,99,92,58,521,https://play.pokemonshowdown.com/sprites/gen5/aurorus.png
Sylveon,700,1,23.5,95,65,65,110,130,60,525,https://play.pokemonshowdown.com/sprites/gen5/sylveon.png
Hawlucha,701,0.8,21.5,78,92,75,74,63,118,500,https://play.pokemonshowdown.com/sprites/gen5/hawlucha.png
Dedenne,702,0.2,2.2,67,58,57,81,67,101,431,https://play.pokemonshowdown.com/sprites/gen5/dedenne.png
Carbink,703,0.3,5.7,50,50,150,50,150,50,500,https://play.pokemonshowdown.com/sprites/gen5/carbink.png
Goomy,704,0.3,2.8,45,50,35,55,75,40,300,https://play.pokemonshowdown.com/sprites/gen5/goomy.png
Sliggoo,705,0.8,17.5,68,75,53,83,113,60,452,https://play.pokemonshowdown.com/sprites/gen5/sliggoo.png
Sliggoo-Hisui,705,0.7,68.5,58,75,83,83,113,40,452,https://play.pokemonshowdown.com/sprites/gen5/sliggoo-hisui.png
Goodra,706,2,150.5,90,100,70,110,150,80,600,https://play.pokemonshowdown.com/sprites/gen5/goodra.png
Goodra-Hisui,706,1.7,334.1,80,100,100,110,150,60,600,https://play.pokemonshowdown.com/sprites/gen5/goodra-hisui.png
Klefki,707,0.2,3,57,80,91,80,87,75,470,https://play.pokemonshowdown.com/sprites/gen5/klefki.png
Phantump,708,0.4,7,43,70,48,50,60,38,309,https://play.pokemonshowdown.com/sprites/gen5/phantump.png
Trevenant,709,1.5,71,85,110,76,65,82,56,474,https://play.pokemonshowdown.com/sprites/gen5/trevenant.png
Pumpkaboo,710,0.4,5,49,66,70,44,55,51,335,https://play.pokemonshowdown.com/sprites/gen5/pumpkaboo.png
Gourgeist,711,0.9,12.5,65,90,122,58,75,84,494,https://play.pokemonshowdown.com/sprites/gen5/gourgeist.png
Bergmite,712,1,99.5,55,69,85,32,35,28,304,https://play.pokemonshowdown.com/sprites/gen5/bergmite.png
Avalugg,713,2,505,95,117,184,44,46,28,514,https://play.pokemonshowdown.com/sprites/gen5/avalugg.png
Avalugg-Hisui,713,1.4,262.4,95,127,184,34,36,38,514,https://play.pokemonshowdown.com/sprites/gen5/avalugg-hisui.png
Noibat,714,0.5,8,40,30,35,45,40,55,245,https://play.pokemonshowdown.com/sprites/gen5/noibat.png
Noivern,715,1.5,85,85,70,80,97,80,123,535,https://play.pokemonshowdown.com/sprites/gen5/noivern.png
Xerneas,716,3,215,126,131,95,131,98,99,680,https://play.pokemonshowdown.com/sprites/gen5/xerneas.png
Yveltal,717,5.8,203,126,131,95,131,98,99,680,https://play.pokemonshowdown.com/sprites/gen5/yveltal.png
Zygarde,718,5,305,108,100,121,81,95,95,600,https://play.pokemonshowdown.com/sprites/gen5/zygarde.png
Diancie,719,0.7,8.8,50,100,150,100,150,50,600,https://play.pokemonshowdown.com/sprites/gen5/diancie.png
Hoopa,720,0.5,9,80,110,60,150,130,70,600,https://play.pokemonshowdown.com/sprites/gen5/hoopa.png
Volcanion,721,1.7,195,80,110,120,130,90,70,600,https://play.pokemonshowdown.com/sprites/gen5/volcanion.png
