Pokemon, Number, Type1, Type2, Ability1, Ability2, Ability3, HP, Attack, Defense, Sp. Atk, Sp. Def, Speed, Sprite
Grimmsnarl,861,DARK,FAIRY,Prankster,Frisk,Pickpocket,95,120,65,95,75,60,https://play.pokemonshowdown.com/sprites/gen5/grimmsnarl.png
Obstagoon,862,DARK,NORMAL,Reckless,Guts,Defiant,93,90,101,60,81,95,https://play.pokemonshowdown.com/sprites/gen5/obstagoon.png
Perrserker,863,STEEL,none,Battle Armor,Tough Claws,Steely Spirit,70,110,100,50,60,50,https://play.pokemonshowdown.com/sprites/gen5/perrserker.png
Cursola,864,GHOST,none,Weak Armor,Perish Body,none,60,95,50,145,130,30,https://play.pokemonshowdown.com/sprites/gen5/cursola.png
Sirfetch'd,865,FIGHTING,none,Steadfast,Scrappy,none,62,135,95,68,82,65,https://play.pokemonshowdown.com/sprites/gen5/sirfetchd.png
Mr. Rime,866,ICE,PSYCHIC,Tangled Feet,Screen Cleaner,Ice Body,80,85,75,110,100,70,https://play.pokemonshowdown.com/sprites/gen5/mrrime.png
Runerigus,867,GROUND,GHOST,Wandering Spirit,none,none,58,95,145,50,105,30,https://play.pokemonshowdown.com/sprites/gen5/runerigus.png
Milcery,868,FAIRY,none,Sweet Veil,Aroma Veil,none,45,40,40,50,61,34,https://play.pokemonshowdown.com/sprites/gen5/milcery.png
Alcremie,869,FAIRY,none,Sweet Veil,Aroma Veil,none,65,60,75,110,121,64,https://play.pokemonshowdown.com/sprites/gen5/alcremie.png
Falinks,870,FIGHTING,none,Battle Armor,Defiant,none,65,100,100,70,60,75,https://play.pokemonshowdown.com/sprites/gen5/falinks.png
Pincurchin,871,ELECTRIC,none,Lightning Rod,Electric Surge,none,48,101,95,91,85,15,https://play.pokemonshowdown.com/sprites/gen5/pincurchin.png
Snom,872,ICE,BUG,Shield Dust,Ice Scales,none,30,25,35,45,30,20,https://play.pokemonshowdown.com/sprites/gen5/snom.png
Frosmoth,873,ICE,BUG,Shield Dust,Ice Scales,none,70,65,60,125,90,65,https://play.pokemonshowdown.com/sprites/gen5/frosmoth.png
Stonjourner,874,ROCK,none,Power Spot,none,none,100,125,135,20,20,70,https://play.pokemonshowdown.com/sprites/gen5/stonjourner.png
Eiscue,875,ICE,none,Ice Face,none,none,75,80,110,65,90,50,https://play.pokemonshowdown.com/sprites/gen5/eiscue.png
Indeedee,876,PSYCHIC,NORMAL,Inner Focus,Synchronize,Psychic Surge,60,65,55,105,95,95,https://play.pokemonshowdown.com/sprites/gen5/indeedee.png
Morpeko,877,ELECTRIC,DARK,Hunger Switch,none,none,58,95,58,70,58,97,https://play.pokemonshowdown.com/sprites/gen5/morpeko.png
Cufant,878,STEEL,none,Sheer Force,Heavy Metal,none,72,80,49,40,49,40,https://play.pokemonshowdown.com/sprites/gen5/cufant.png
Copperajah,879,STEEL,none,Sheer Force,Heavy Metal,none,122,130,69,80,69,30,https://play.pokemonshowdown.com/sprites/gen5/copperajah.png
Dracozolt,880,ELECTRIC,DRAGON,Volt Absorb,Hustle,Sand Rush,90,100,90,80,70,75,https://play.pokemonshowdown.com/sprites/gen5/dracozolt.png
Arctozolt,881,ELECTRIC,ICE,Volt Absorb,Static,Slush Rush,90,100,90,90,80,55,https://play.pokemonshowdown.com/sprites/gen5/arctozolt.png
Dracovish,882,WATER,DRAGON,Water Absorb,Strong Jaw,Sand Rush,90,90,100,70,80,75,https://play.pokemonshowdown.com/sprites/gen5/dracovish.png
Arctovish,883,WATER,ICE,Water Absorb,Ice Body,Slush Rush,90,90,100,80,90,55,https://play.pokemonshowdown.com/sprites/gen5/arctovish.png
Duraludon,884,STEEL,DRAGON,Light Metal,Heavy Metal,Stalwart,70,95,115,120,50,85,https://play.pokemonshowdown.com/sprites/gen5/duraludon.png
Dreepy,885,DRAGON,GHOST,Clear Body,Infiltrator,Cursed Body,28,60,30,40,30,82,https://play.pokemonshowdown.com/sprites/gen5/dreepy.png
Drakloak,886,DRAGON,GHOST,Clear Body,Infiltrator,Cursed Body,68,80,50,60,50,102,https://play.pokemonshowdown.com/sprites/gen5/drakloak.png
Dragapult,887,DRAGON,GHOST,Clear Body,Infiltrator,Cursed Body,88,120,75,100,75,142,https://play.pokemonshowdown.com/sprites/gen5/dragapult.png
Zacian,888,FAIRY,none,Intrepid Sword,none,none,92,120,115,80,115,138,https://play.pokemonshowdown.com/sprites/gen5/zacian.png
Zamazenta,889,FIGHTING,none,Dauntless Shield,none,none,92,120,115,80,115,138,https://play.pokemonshowdown.com/sprites/gen5/zamazenta.png
Eternatus,890,POISON,DRAGON,Pressure,none,none,140,85,95,145,95,130,https://play.pokemonshowdown.com/sprites/gen5/eternatus.png
Kubfu,891,FIGHTING,none,Inner Focus,none,none,60,90,60,53,50,72,https://play.pokemonshowdown.com/sprites/gen5/kubfu.png
Urshifu,892,FIGHTING,DARK,Unseen Fist,none,none,100,130,100,63,60,97,https://play.pokemonshowdown.com/sprites/gen5/urshifu.png
Zarude,893,DARK,GRASS,Leaf Guard,none,none,105,120,105,70,95,105,https://play.pokemonshowdown.com/sprites/gen5/zarude.png
Regieleki,894,ELECTRIC,none,Transistor,none,none,80,100,50,100,50,200,https://play.pokemonshowdown.com/sprites/gen5/regieleki.png
Regidrago,895,DRAGON,none,Dragon's Maw,none,none,200,100,50,100,50,80,https://play.pokemonshowdown.com/sprites/gen5/regidrago.png
Glastrier,896,ICE,none,Chilling Neigh,none,none,100,145,130,65,110,30,https://play.pokemonshowdown.com/sprites/gen5/glastrier.png
Spectrier,897,GHOST,none,Grim Neigh,none,none,100,65,60,145,80,130,https://play.pokemonshowdown.com/sprites/gen5/spectrier.png
Calyrex,898,PSYCHIC,GRASS,Unnerve,none,none,100,80,80,80,80,80,https://play.pokemonshowdown.com/sprites/gen5/calyrex.png
Wyrdeer,899,NORMAL,PSYCHIC,Intimidate,Frisk,Sap Sipper,103,105,72,105,75,65,https://play.pokemonshowdown.com/sprites/gen5/wyrdeer.png
Kleavor,900,BUG,ROCK,Swarm,Sheer Force,Sharpness,70,135,95,45,70,85,https://play.pokemonshowdown.com/sprites/gen5/kleavor.png
Ursaluna,901,GROUND,NORMAL,Guts,Bulletproof,Unnerve,130,140,105,45,80,50,https://play.pokemonshowdown.com/sprites/gen5/ursaluna.png
Basculegion,902,WATER,GHOST,Swift Swim,Adaptability,Mold Breaker,120,112,65,80,75,78,https://play.pokemonshowdown.com/sprites/gen5/basculegion.png
Sneasler,903,FIGHTING,POISON,Pressure,Unburden,Poison Touch,80,130,60,40,80,120,https://play.pokemonshowdown.com/sprites/gen5/sneasler.png
Overqwil,904,DARK,POISON,Poison Point,Swift Swim,Intimidate,85,115,95,65,65,85,https://play.pokemonshowdown.com/sprites/gen5/overqwil.png
Enamorus,905,FAIRY,FLYING,Cute Charm,Contrary,none,74,115,70,135,80,106,https://play.pokemonshowdown.com/sprites/gen5/enamorus.png
